ID,Parent Product ID,WPML Translation ID,WPML Language Code,Title,Content,Sku,Regular Price,Sale Price,Stock Status,Stock,Tags,Category,SEO title,SEO Description,visible_roles,invisible_roles,Tax Class,Tax Status,Superdaycare Price,Daycare Price,Daycare Staff Price,Parent Price,Parent Extra Price
678,0,585,nl,Diepvries prei in room porties 1kg,"<p>Product: Diepvries prei in room porties<br />
Formaat: 1kg</p>",diepvries-prei-in-room-porties-1kg,2.69,,instock,,Diepvries|porties|prei|prei in room|prei met room|room,Supermarkt>Groenten,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
680,0,590,nl,Diepvries Soepballetjes 1kg,"<p>Product: Diepvries soepballetjes<br />
Formaat: 1kg</p>",diepvries-soepballetjes-1kg,5614,,instock,,balletjes|Diepvries|soep|soepballetjes,Supermarkt>Vlees/Vis/Veggie,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
682,0,593,nl,Diepvries champignon 2.5kg,"<p>Product: Diepvries champignon<br />
Formaat: 2.5kg</p>",diepvries-champignon-2-5kg,5.85,,instock,,champignon|Diepvries,Supermarkt>Groenten,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
684,0,595,nl,Diepvries Peterselie 300g,"<p>Product: Diepvries peterselie<br />
Formaat: 300g</p>",diepvries-peterselie-300g,1234,,instock,,Diepvries|kruiden|peterselie,Supermarkt>Groenten,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
686,0,597,nl,Toiletpapier 12rollen,"<p>Product: Toiletpapier<br />
Formaat: 12 rollen</p>",toiletpapier-12rollen,2463,,instock,,papier|toilet|toiletpapier,Supermarkt>Verzorging,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
688,0,601,nl,Koffiepads 36st,"<p>Product: Koffiepads<br />
Formaat: 36st</p>",koffiepads-36st,1585,,instock,,koffie|koffiepads|pads,Supermarkt>Dranken,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
690,0,604,nl,Express bindmiddel witte saus 250g,"<p>Product: Express bindmiddel witte saus<br />
Formaat: 250g</p>",express-bindmiddel-witte-saus-250g,614,,instock,,bindmiddel|expr|express|saus|witte|witte saus,Supermarkt>Sauzen,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
692,0,611,nl,Tomatenpuree dubbel geconcentreerd 140g,"<p>Product: Tomatenpuree dubbel geconcentreerd<br />
Formaat: 140g</p>",tomatenpuree-dubbel-geconcentreerd-140g,284,,instock,,dubbel|dubbel geconcentreerd|geconcentreerd|puree|tomaten|tomatenpuree,Supermarkt>Groenten>Pot en blik,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
694,0,616,nl,Handzeep,"<p>Product: Handzeep<br />
Formaat: 500ml</p>",handzeep,405,,instock,,hand|handen|handzeep|zeep,Supermarkt>Verzorging,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
696,0,621,nl,Diepvrieszakjes 1l 75st,"<p>Product: Diepvrieszakjes 1l<br />
Formaat: 75st</p>",diepvrieszakjes-1l-75st,1645,,instock,,1l|diepvrieszak|diepvrieszakje|diepvrieszakjes,Supermarkt>Sauzen,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
698,0,626,nl,Diepvrieszakjes 3l 75st,"<p>Product: Diepvrieszakjes 3l<br />
Formaat: 75st</p>",diepvrieszakjes-3l-75st,1.53,,instock,,3l|diepvrieszak|diepvrieszakje|diepvrieszakjes,Supermarkt>Sauzen,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
701,0,627,nl,Vuilzakjes Swirl 10l,"<p>Product: Vuilzakjes Swirl<br />
Formaat: 10l</p>",vuilzakjes-swirl-10l,1645,,instock,,10l|swirl|vuilzak|vuilzakje,Supermarkt>Onderhoud,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
703,0,631,nl,Vuilzakjes Swirl 5l,"<p>Product: Vuilzakjes Swirl<br />
Formaat: 5l</p>",vuilzakjes-swirl-5l,1.48,,instock,,5l|swirl|vuilzak|vuilzakje,Supermarkt>Onderhoud,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
705,0,633,nl,Printpapier 80g 500vellen,"<p>Product: Printpapier<br />
Formaat: 80g 500 vellen</p>",printpapier-80g-500vellen,2645,,instock,,kopieer|kopieerpapier|papier|print|printpapier,Supermarkt>Bureaumateriaal,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
707,0,638,nl,Venkel 1kg (min. 1st),"<p>Product: Venkel<br />
Formaat: 1kg (min. 1 st)</p>",venkel-1kg-min-1st,1595,,instock,,venkel|vers|verse venkel,Supermarkt>Groenten,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
709,0,639,nl,Kalkreiniger spray 750ml,"<p>Product: kalkreiniger spray<br />
Formaat: 750ml</p>",kalkreiniger-spray-750ml,1232,,instock,,kalk|kalkreiniger|ontkalken|spray,Supermarkt>Onderhoud,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
711,0,644,nl,Enveloppe,"<p><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">Product: Letter wraps, envelope </span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span><br />
<span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;""><span style=""vertical-align: inherit;"">Size: 200pcs, cover 114x162mm</span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></span></p>",enveloppe,2802,,instock,,brief|briefomslag|briefomslagen|brieven|enveloppe|enveloppen|enveloppes|omslag|omslagen,Supermarkt>Bureaumateriaal,,,administrator|daycare|superdaycare,parent|staff|parent_extra,21vat,taxable,,,,,
713,0,654,nl,Zout vaatwasmachine 4kg,"<p>Product: Regeneerzout, zout voor vaatwasmachine<br />
Formaat: 4kg</p>",zout-vaatwasmachine-4kg,2.39,,instock,,afwasmachine|regenereerzout|vaatwas|vaatwasmachine|zout|zout afwasmachine|zout vaatwas|zout vaatwasmachine|zout voor afwasmachine,Supermarkt>Onderhoud,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
718,0,659,nl,Koekjesassortiment 500g,"<p>Product: Koekjesassortiment, assortiment van verschillende soorten koeken<br />
Formaat: 500g</p>",koekjesassortiment-500g,3104,,instock,,assortiment|assortiment van koeken|assortiment van koekjes|koek|koeken|koekenassortiment|koekjes|koekjesassortiment,Supermarkt>Sauzen,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,6vat,taxable,,,,,
723,0,667,nl,Onstopper 5l,"<p>Product: Ontstopper<br />
Formaat: 5l</p>",onstopper-5l,7.81,,instock,,5l|onstoppen|onstopper,Supermarkt>Onderhoud,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
729,0,673,nl,Vershoudfolie 300m,"<p>Product: Vershoudfolie<br />
Formaat: 300m x 29cm</p>",vershoudfolie-300m,7.43,,instock,,folie|vershouden|vershoudfolie,Supermarkt>Groenten>Pot en blik,,,administrator|daycare|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|parent|staff|parent_extra|translator,21vat,taxable,,,,,
732,0,674,nl,Koffiebonen Cubzz dessert 500g,"<p>Product: Koffiebonen Cubzz dessert<br />
Extra info: Het merk Cubzz schenkt al zijn winst aan goede doelen die kinderen kansen geven!<br />
Formaat: 500g</p>",koffiebonen-cubzz-dessert-500g,3765,,instock,,cubzz|dessert|koffie|koffiebonen|koffiebonen cubzz,Supermarkt>Dranken,,,administrator|daycare|parent|staff|parent_extra|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|translator,6vat,taxable,,,,,
810,0,704,nl,Gemalen koffie Cubzz dessert 250g,"<p>Product: Gemalen koffie Cubzz<br />
Extra info: Het merk Cubzz schenkt al zijn winst aan goede doelen die kinderen kansen geven!<br />
Formaat: 250g</p>",gemalen-koffie-cubzz-dessert-250g,1406,,instock,,cubzz|dessert|koffie|koffiebonen|koffiebonen cubzz,Supermarkt>Dranken,,,administrator|daycare|parent|staff|parent_extra|superdaycare,guest|editor|author|contributor|subscriber|customer|shop_manager|wpseo_manager|wpseo_editor|translator,6vat,taxable,,,,,
